symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,606540440637,606540440668,30,29011.00,29007.25,$(225.00),08/04/2026 00:58:08,08/04/2026 00:59:00,52sec
MNQU6,-2,0,0.25,606540440702,606540440680,4,29003.25,29007.75,$36.00,08/04/2026 00:59:13,08/04/2026 00:59:01,12sec
MNQU6,-2,0,0.25,606540440714,606540440680,1,29003.25,29007.75,$9.00,08/04/2026 00:59:13,08/04/2026 00:59:01,12sec
MNQU6,-2,0,0.25,606540440726,606540440680,25,29003.25,29007.75,$225.00,08/04/2026 00:59:13,08/04/2026 00:59:01,12sec
MNQU6,-2,0,0.25,606540440741,606540440763,17,29088.50,29078.25,$(348.50),08/04/2026 02:13:30,08/04/2026 02:18:58,5min 27sec
MNQU6,-2,0,0.25,606540440781,606540440792,30,29092.25,29091.50,$(45.00),08/04/2026 03:36:01,08/04/2026 03:36:01,
MNQU6,-2,0,0.25,606540440834,606540440865,21,29084.25,29083.50,$(31.50),08/04/2026 03:37:30,08/04/2026 03:38:01,30sec
MNQU6,-2,0,0.25,606540440899,606540440877,1,29092.00,29083.00,$(18.00),08/04/2026 03:40:12,08/04/2026 03:38:01,2min 11sec
MNQU6,-2,0,0.25,606540440911,606540440877,3,29092.00,29083.00,$(54.00),08/04/2026 03:40:13,08/04/2026 03:38:01,2min 11sec
MNQU6,-2,0,0.25,606540440923,606540440877,17,29092.50,29083.00,$(323.00),08/04/2026 03:40:13,08/04/2026 03:38:01,2min 11sec
MNQU6,-2,0,0.25,606540440938,606540440969,30,29099.00,29098.25,$(45.00),08/04/2026 04:27:35,08/04/2026 04:28:01,25sec
MNQU6,-2,0,0.25,606540441003,606540440981,1,29105.00,29098.25,$(13.50),08/04/2026 04:28:49,08/04/2026 04:28:01,48sec
MNQU6,-2,0,0.25,606540441015,606540440981,29,29105.50,29098.25,$(420.50),08/04/2026 04:28:49,08/04/2026 04:28:01,48sec
MNQU6,-2,0,0.25,606540441052,606540441030,9,29036.25,29019.25,$(306.00),08/04/2026 05:27:16,08/04/2026 05:19:18,7min 57sec
MNQU6,-2,0,0.25,606540441064,606540441030,1,29036.50,29019.25,$(34.50),08/04/2026 05:27:16,08/04/2026 05:19:18,7min 57sec
MNQU6,-2,0,0.25,606540441079,606540441109,12,29051.75,29132.00,"$1,926.00",08/04/2026 05:32:51,08/04/2026 06:45:10,1h 12min 19sec
MNQU6,-2,0,0.25,606540441124,606540441150,2,29119.00,29109.75,$(37.00),08/04/2026 06:54:54,08/04/2026 06:56:44,1min 50sec
MNQU6,-2,0,0.25,606540441124,606540441158,10,29119.00,29109.50,$(190.00),08/04/2026 06:54:54,08/04/2026 06:56:44,1min 50sec
MNQU6,-2,0,0.25,606540441173,606540441234,12,29117.50,29142.00,$588.00,08/04/2026 06:58:52,08/04/2026 07:03:21,4min 29sec
MNQU6,-2,0,0.25,606540441207,606540441234,12,29128.00,29142.00,$336.00,08/04/2026 07:01:39,08/04/2026 07:03:21,1min 42sec
